cik_int,cik10,cik_original,company_name,primary_ticker,all_tickers,n_tickers,earliest_filing_date,latest_filing_date,n_filings,n_years,name_normalized
1707502,1707502,1707502,Solid Biosciences Inc.,SLDB,{'SLDB'},1,00:00.0,00:00.0,4,4,SOLID BIOSCIENCES INC.
1106838,1106838,1106838,"Sonnet BioTherapeutics Holdings, Inc.",SONN,{'SONN'},1,00:00.0,00:00.0,15,15,"SONNET BIOTHERAPEUTICS HOLDINGS, INC."
1367083,1367083,1367083,"Sonoma Pharmaceuticals, Inc.",SNOA,{'SNOA'},1,00:00.0,00:00.0,14,14,"SONOMA PHARMACEUTICALS, INC."
1314727,1314727,1314727,Sonos Inc,SONO,{'SONO'},1,00:00.0,00:00.0,3,3,SONOS INC
850261,850261,850261,"Sorrento Therapeutics, Inc.",SRNE,{'SRNE'},1,00:00.0,00:00.0,13,13,"SORRENTO THERAPEUTICS, INC."
1822479,1822479,1822479,Sotera Health Co,SHC,{'SHC'},1,00:00.0,00:00.0,1,1,SOTERA HEALTH CO
1541119,1541119,1541119,"Sound Financial Bancorp, Inc.",SFBC,{'SFBC'},1,00:00.0,00:00.0,9,9,"SOUND FINANCIAL BANCORP, INC."
764038,764038,764038,SouthState Corp,SSB,{'SSB'},1,00:00.0,00:00.0,21,21,SOUTHSTATE CORP
1692115,1692115,1692115,"Southwest Gas Holdings, Inc.",SWX,{'SWX'},1,00:00.0,00:00.0,5,5,"SOUTHWEST GAS HOLDINGS, INC."
1490161,1490161,1490161,Sow Good Inc.,SOWG,{'SOWG'},1,00:00.0,00:00.0,11,11,SOW GOOD INC.
1705338,1705338,1705338,Spark Networks SE,LOV,{'LOV'},1,00:00.0,00:00.0,1,1,SPARK NETWORKS SE
877422,877422,877422,SpartanNash Co,SPTN,{'SPTN'},1,00:00.0,00:00.0,17,17,SPARTANNASH CO
109177,109177,109177,"Spectrum Brands Holdings, Inc.",SPB,{'SPB'},1,00:00.0,00:00.0,23,23,"SPECTRUM BRANDS HOLDINGS, INC."
1701108,1701108,1701108,"Spero Therapeutics, Inc.",SPRO,{'SPRO'},1,00:00.0,00:00.0,4,4,"SPERO THERAPEUTICS, INC."
1591956,1591956,1591956,Sphere 3D Corp.,ANY,{'ANY'},1,00:00.0,00:00.0,3,3,SPHERE 3D CORP.
1364885,1364885,1364885,"Spirit AeroSystems Holdings, Inc.",SPR,{'SPR'},1,00:00.0,00:00.0,15,15,"SPIRIT AEROSYSTEMS HOLDINGS, INC."
1498710,1498710,1498710,"Spirit Airlines, Inc.",SAVE,{'SAVE'},1,00:00.0,00:00.0,10,10,"SPIRIT AIRLINES, INC."
1289945,1289945,1289945,"Spok Holdings, Inc",SPOK,{'SPOK'},1,00:00.0,00:00.0,17,17,"SPOK HOLDINGS, INC"
1077319,1077319,1077319,"Spotlight Capital Holdings, Inc",SLCH,{'SLCH'},1,00:00.0,00:00.0,5,5,"SPOTLIGHT CAPITAL HOLDINGS, INC"
